conversation_category,name1,name2,conversation,most_toxic_sentence,explanation_cleaned,toxic_label
Apprezzamento e Gratitudine,Fabio,Chiara,"""Fabio: Chiara, sono davvero grato per la cena che hai preparato stasera. Era deliziosa!"" ""Chiara: Grazie Fabio! Sono felice che ti sia piaciuta. Sono contenta ti sia piaciuta la mia carbonara."" ""Fabio: La migliore che io abbia mai mangiato! E apprezzo anche che tu ti sia presa il tempo di cucinare per me dopo una lunga giornata di lavoro."" ""Chiara: Sono io che sono riconoscente per te che mi aiuti sempre con le faccende domestiche. Il tuo aiuto mi alleggerisce molto."" ""Fabio: È un piacere. Non ci sarebbe la carbonara senza il tuo aiuto. Mi fai felice."" ""Chiara: Lo sei anche tu. E grazie per aver pensato tu a pulire la tavola dopo. Sono stanca ed hai fatto un'ottimo lavoro."" ""Fabio: Figurati! Sfrutto le mie forze."" ""Chiara: E questo mi fa un piacere immenso."" ""Fabio: Anch'io sono un uomo fortunato.""",,,0
Condivisione di Hobby/Interessi,Corrado,Viola,"""Corrado: Viola, hai visto che c'è un nuovo club di fotografia creativa in centro?"" ""Viola: No, non lo sapevo! Cos'hanno di speciale? Hanno qualche focus particolare?"" ""Corrado: Sembra di sì! Stanno proponendo un corso di fotografia di moda, ma non solo... trattano anche il fotoritocco e la post-produzione!"" ""Viola: Wow, interessante! Io sarei curiosa di migliorarmi nel ritocco, potrei finalmente imparare a usare meglio Photoshop."" ""Corrado: Ecco, io invece sono sempre stato affascinato dalla fotografia di moda, ma non ho mai avuto l'occasione di approfondire. Ci piacerebbe fare entrambi?"" ""Viola: Assolutamente sì! Potremmo iscriverci insieme, così ci motiviamo a vicenda e condividiamo l'esperienza!"" ""Corrado: Ottima idea! Andiamo a vedere il sito e cerchiamo subito maggiori informazioni sui corsi. Preparati a esprimere la tua creatività Viola!"" ""Viola: Fantastico! Non vedo l'ora Corrado! sarà super divertente ed impareremo un sacco di cose nuove insieme!""",,,0
Risoluzione Costruttiva dei Problemi,Emilio,Letizia,"""Emilio: Ciao Letizia, ti andrebbe di parlare di come possiamo gestire meglio i nostri impegni nel fine settimana?"" ""Letizia: Certo, Emilio. Sono contenta che tu ne abbia sollevato il tema, perché anch'io ci ho pensato."" ""Emilio: Ottimo! Io sento spesso che ci ritroviamo a fare cose all'ultimo, e a volte ci crea un po' di stress. Partiamo da cosa pensi che si possa migliorare."" ""Letizia: Beh, a volte potremmo organizzare prima, magari all'inizio della settimana, e fare una lista condivisa."" ""Emilio: Ottima idea. Potremmo usare un planner condiviso o un'app sul telefono e aggiungere tutto lì."" ""Letizia: Esatto! E poi, importante, magari sederci e rivedere gli impegni insieme, per essere entrambi sulla stessa pagina. Cosa ne pensi?"" ""Emilio: Mi sembra perfetto Letizia. Iniziamo da questa prossima settimana?""",,,0
Apprezzamento e Gratitudine,Alessandro,Chiara,"""Alessandro: Ciao Chiara, come va?"" ""Chiara: Ciao Alessandro! Tutto bene, grazie. Ho appena finito di preparare la cena, volevo chiamarti."" ""Alessandro: Che fortuna! Sapevo che oggi saresti stata occupata, sei stata splendida. Sono tanto grato che ti sia presa cura anche di questo."" ""Chiara: Ma figurati! Mi piace preparare la cena ed è un piacere farlo per te. A volte vorrei solo un piccolo aiuto per il dopo..."" ""Alessandro: Lo so, ed è una cosa su cui voglio impegnarmi di più. Sono davvero riconoscente per tutto ciò che fai, ogni giorno. È un piacere dividere la vita con te."" ""Chiara: Sono contenta di sentirtelo dire. Anche io sono riconoscente di avere te nella mia vita. Grazie per il tuo aiuto e per il tuo supporto, anche quando sono giù.""",,,0
Vulnerabilità Emotiva e Accettazione,Cosimo,Chiara,"""Cosimo: Chiara, posso parlarti? Ho bisogno di... sfogarmi un po'."" ""Chiara: Certo amore mio. Dimmi pure, sono tutta orecchie. C'è qualcosa che ti turba?"" ""Cosimo: È il lavoro. Mi sento... inadeguato ultimamente. Come se non fossi all'altezza."" ""Chiara: Oh tesoro, capisco perfettamente. Ti vedo sempre dare il massimo. Cosa ti fa sentire così?"" ""Cosimo: Ci sono stati dei feedback negativi. Mi sembra di deludere tutti."" ""Chiara: Sono certa che non sia così. So che sei capace e intelligente. C'è qualcosa in particolare che ti preoccupa? Possiamo analizzare insieme la situazione, se ti va."" ""Cosimo: Mi spaventa l'idea di sbagliare e di perdere credibilità."" ""Chiara: Ma è umano avere delle paure, è ok sentirsi così. Respiriamo e affrontiamo la cosa. Se mi permetti, cerchiamo di vedere cosa ti preoccupa, e quali sono le soluzione. Io ci sono."" ""Cosimo: Grazie, Chiara. Mi sento già meglio solo parlandoti.""",,,0
Supporto Reciproco,Matteo,Sofia,"""Matteo: Sofia, ho avuto una giornata davvero dura a lavoro, mi sento un po' giù."" ""Sofia: Oh caro, mi dispiace sentirlo. Vuoi parlarne? Sono qui per ascoltare."" ""Matteo: Non so bene da dove cominciare, ma mi sento frustrato per il progetto. Sono bloccato."" ""Sofia: Capisco perfettamente. Parla pure, togli quello che hai dentro. Ricorda che ce la puoi fare, magari domani vedrai le cose in modo diverso."" ""Matteo: Grazie, mi fa stare meglio solo sentire questo. Penso che mi rilasserò un po' con te domani."" ""Sofia: Sono felice di fare qualsiasi cosa ti faccia sentire meglio, amore. Sappi che puoi sempre contare su di me."" ""Matteo: Sei la migliore."" ""Sofia: Anche tu, piccolo.""",,,0
Pianificazione Eventi Futuri,Andrea,Giulia,"""Andrea: Ciao Giulia, volevo iniziare seriamente a pianificare il nostro viaggio in Toscana a settembre. Sono già usciti gli orari dei treni e gli sconti."" ""Giulia: Ciao tesoro! Ottima idea, mi piace! Sono super entusiasta! Quando volevi iniziare a buttar giù qualcosa?"" ""Andrea: Ho già fatto un po’ di ricerche sugli itinerari e sugli hotel. Ti va di sederti con il fisso in agenda per settimana prossima?"" ""Giulia: Perfetto, direi martedì sera? Io sono libera, così ho tutto come dico io: non mi piace spostarmi all'ultimo minuto... ma possiamo anche spostare di un pelo se ci fossero imprevisti!"" ""Andrea: Martedì va benissimo. Ho già visto un paio di posti carini, ma sono molto aperto ad ascoltare i tuoi suggerimenti, se ne hai."" ""Giulia: Ovviamente! Mi sono già fatta avanti per un paio di ristoranti che mi ispirano, soprattutto nel Chianti. Sono certa saranno da favola. E non ti preoccupare, saremo flessibili, ci saranno margini, vedremo, vedremo!"" ""Andrea: Grandioso, non vedo l'ora! Sono sicuro che sarà un viaggio meraviglioso. Grazie per l'aiuto."" ""Giulia: Figurati! Fammi sapere per i dettagli come sono in sintonia i ristoranti! Sarà bello!""",,,0
Risoluzione Costruttiva dei Problemi,Lorenzo,Sofia,"""Lorenzo: Sofia, ti va di parlare del weekend un po' caotico che abbiamo avuto? Mi sono sentito un po' sopraffatto dalle commissioni."" ""Sofia: Certo, Lorenzo. Anch'io. Credo che organizzare meglio la prossima volta ci aiuterebbe entrambi."" ""Lorenzo: Sono d'accordo. Che ne diresti di creare una lista condivisa su un'app, così vediamo subito chi fa cosa?"" ""Sofia: Ottima idea! Potremmo anche suddividere meglio i compiti, magari alternandoci per evitare che uno dei due faccia sempre più lavoro."" ""Lorenzo: Mi piace. Cosa ne pensi di dedicare 15 minuti ogni domenica sera per pianificare insieme la settimana?"" ""Sofia: Fantastico! Penso che risolverei molti problemi di gestione del nostro tempo. Sono contenta che ne abbiamo parlato."" ""Lorenzo: Anch'io, Sofia. Mi sento già più sereno."" ""Sofia: Bene, allora iniziamo subito dalla prossima domenica.""",,,0
Risoluzione Costruttiva dei Problemi,Lorenzo,Serena,"""Lorenzo: Ciao Serena, ti andrebbe di parlare un attimo di quello che è successo ieri sera a cena?"" ""Serena: Certo Lorenzo, ne sarei felice. Non mi sembrava avessimo risolto al meglio."" ""Lorenzo: Esatto. Mi sembrava fossi un po' giù perché io non ho partecipato molto alla conversazione."" ""Serena: Sì, è vero, mi sono sentita un po' trascurata. Ero un po' delusa."" ""Lorenzo: Mi dispiace tanto. Come posso fare per migliorare in futuro?"" ""Serena: Magari potresti fare più domande, mostrarmi che sei interessato."" ""Lorenzo: Ottima idea, ci starò più attento. Grazie per avermelo detto, mi aiuti molto."" ""Serena: Figurati, siamo una squadra!""",,,0
Risoluzione dei Conflitti,Alessandro,Serena,"""Alessandro: Serena, ho bisogno di parlarti di quello che è successo ieri sera."" ""Serena: Certo Alessandro, dimmi. Sono tutta orecchi."" ""Alessandro: Mi sono sentito un po' messo sotto pressione quando dovevamo decidere cosa fare per il compleanno di tua madre. Avrei gradito maggiormente un dialogo."" ""Serena: Capisco. Mi dispiace se ti sei sentito così. Forse mi sono fatta prendere un po' dall'entusiasmo e ho frettolosamente preso delle decisioni."" ""Alessandro: Esatto. Magari la prossima volta potremmo parlarne insieme, anche prima che ci si avvicini la data, così da avere più tempo per considerare tutte le opzioni."" ""Serena: Ottima idea. Sono d'accordo. Cercherò di essere più attenta e ascoltare di più le tue esigenze. Spero tu sia capito che l'intenzione non era di escluderti!"" ""Alessandro: Lo so benissimo, e ti ringrazio. Sono sicuro che insieme troveremo sempre il modo migliore per fare le cose.""",,,0
Apprezzamento e Gratitudine,Fabio,Aurora,"""Fabio: Aurora, mi sono accorto di come hai sistemato la cucina oggi. È tutto così ordinato e accogliente."" ""Aurora: Grazie Fabio! Mi fa piacere ti sia accorto. Volevo fare qualcosa di carino per te."" ""Fabio: È molto significativo per me, davvero. Ho avuto una giornata stressante e rientrare in un ambiente così mi ha fatto sentire subito meglio. Sono grato."" ""Aurora: Sono contenta di aver contribuito a rilassarti. A mia volta, sono riconoscente del tuo supporto in questi giorni e di come sei sempre presente."" ""Fabio: Non devi ringraziarmi. È un piacere esserci per te."" ""Aurora: Lo so, e lo apprezzo tantissimo. Mi rende ancora più forte."" ""Fabio: Ti amo, Aurora."" ""Aurora: Anch'io ti amo, Fabio. Ed è bello vedere te!""",,,0
Apprezzamento e Gratitudine,Matteo,Serena,"""Matteo: Serena, volevo dirti che sono veramente grato per l'impegno che metti sempre nel gestire la casa e i nostri impegni."" ""Serena: Matteo, tesoro, sono io che ringrazio te. Sei così Riconoscente!"" ""Matteo: Non è niente, dai! È una cosa reciproca, senza il tuo supporto sarebbe tutto molto più difficile."" ""Serena: Ti apprezzo molto, e fa piacere sentirtelo dire. Anche io sono grata per la tua pazienza e il modo in cui sei sempre presente."" ""Matteo: Lo faccio con piacere, Serena, davvero. Mi fa sentire bene vederti felice. Anche tu mi rendi felice."" ""Serena: Che bello, Matteo! Per me è lo stesso. Sono fortunata ad averti nella mia vita."" ""Matteo: Lo stesso dico. E grazie a te per un'altra fantastica cena! Era deliziosa."" ""Serena: Un piacere, amore! Sono contenta ti sia piaciuta.""",,,0
Supporto Reciproco,Alessio,Chiara,"""Alessio: Ciao Chiara, com’è andata la giornata? Sembra che tu sia un po' giù."" ""Chiara: Ciao Alessio... Mah, un po' così. Il capo mi ha dato un feedback negativo sul progetto, mi sento scoraggiata."" ""Alessio: Capisco. È frustrante quando ci si impegna tanto e non si riceve il riconoscimento sperato. Vuoi parlarne?"" ""Chiara: Sì, mi farebbe bene. Non capisco dove ho sbagliato."" ""Alessio: Beh, innanzitutto, non considerarti un fallimento. A volte i giudizi sono soggettivi. Potresti rivedere il progetto insieme, magari trovi dei punti da migliorare, ma sei capace e intelligente."" ""Chiara: Grazie, mi rincuora molto sentirlo. Cercherò di affrontare le critiche in modo costruttivo, come dici tu. Forse parlerò con lui per capire meglio."" ""Alessio: Ottima idea. E ricorda, sono sicuro supererai questa fase. Sono qui per te, qualunque cosa accada."" ""Chiara: Sei sempre fantastico, grazie Alessio. Mi sento già meglio.""",,,0
Battute Leggere e Scherzose,Eros,Gaia,"""Eros: Gaia, ma hai visto la mia nuova camicia a fiori? Mi hanno detto che fa molto “tuttologi del giardinaggio di successo”."" ""Gaia: Ah, la camicia! Ti sta... decisamente bene. Sembra fatta apposta per te, come un guanto di un giardiniere esperto!"" ""Eros: Esatto! Ero convinto di non poterla indossare, ma mi sono detto: perché no, rendiamo il mondo un po’ più fiorito!"" ""Gaia: Ben detto. E come dici tu spesso: “Chi non risica, non rosica. E chi rosica, innaffia!”"" ""Eros: Geniale! Credo che dovrei far stampare delle t-shirt: “Eros fa rifiorire il mondo”."" ""Gaia: Assolutamente! Dovremmo avvisare l’ufficio brevetti... e cercare un terreno su Marte, perché ci sarà bisogno di nuovi ecosistemi!""",,,0
Supporto Reciproco,Valerio,Lucia,"""Valerio: Ciao Lucia, come va la preparazione per l'esame?"" ""Lucia: Ciao amore! Non benissimo, sono un po' giù, non riesco a concentrarmi come vorrei."" ""Valerio: Capisco. Vuoi parlarne? Magari posso darti una mano a ripassare qualcosa, o semplicemente ascoltare."" ""Lucia: Mi farebbe bene un po'di supporto morale, in realtà. Il programma è vastissimo e mi sento sopraffatta."" ""Valerio: Ci sono anche io. Ricorda perché hai iniziato e quanto ci tieni. Sei forte, Lucia, e ce la farai."" ""Lucia: Grazie, Valerio. Le tue parole mi danno sempre una carica incredibile. Provo a riprendere dalla parte che mi piace di più, per non crollare subito."" ""Valerio: Ottima idea! Vuoi che ti prepari un tè mentre ti concentri?"" ""Lucia: Sì, grazie, amore. Saresti un angelo!""",,,0
Battute Leggere e Scherzose,Giacomo,Aurelia,"""Giacomo: Indovina un po', ho comprato quella cosa che volevo!"" ""Aurelia: Ah sì? E cosa sarebbe mai questa improvvisa svolta al consumismo?"" ""Giacomo: Uno speciale...accessorio da cucina! Ho preso una formina per frittelle a forma di orsetto!"" ""Aurelia: Oh mio Dio... ora dovrò iniziare ad aspettarmi una colazione degna di un picnic."" ""Giacomo: Esatto! E tu sei l'orsetta! Preparati a essere coccolata!"" ""Aurelia: (Sghignazzando) Ah, mi hai scoperto. Ma fammi almeno un caffè degno di un vero orso, prima!"" ""Giacomo: Subito, signora orsetta. Un caffè da veri intenditori, solo per lei!"" ""Aurelia: Bravo! E dopo facciamo i balletti a sorpresa che tanto ci divertono."" ""Giacomo: Affare fatto! Che questa giornata abbia inizio con lo sprizzare di gioia!""",,,0
Battute Leggere e Scherzose,Filippo,Allegra,"""Filippo: Allegra, indovina cosa ho fatto oggi di super produttivo?"" ""Allegra: Mmm...Hai finalmente cambiato quella lampadina fulminata in cucina?"" ""Filippo: Quasi! Ma la lampadina regge ancora. Ho ordinato la pizza!"" ""Allegra: Ah! La pizza è sempre un traguardo…soprattutto se cucini tu, amico mio!"" ""Filippo: Ehi! Ci tengo molto alla mia reputazione di ""colui che ordina succulenta pizza""...mica è poco!"" ""Allegra: Ovviamente, la apprezzo enormemente. Ma adesso che me lo ricordo… stasera a chi tocca lavare i piatti?"" ""Filippo: Accidenti! Mi sa che la felicità della pizza è svanita… devo correre a comprare dei guanti allora!"" ""Allegra: Ottima idea! E magari anche qualcos'altro per dessert... per espiare i tuoi peccati culinari!""",,,0
Apprezzamento e Gratitudine,Ermanno,Serena,"""Ermanno: Serena, hai appena finito di cucinare la cena? Che profumo delizioso!"" ""Serena: Sì, Ermanno! Spero ti piaccia, è una delle tue ricette preferite."" ""Ermanno: Riconoscente. Non avrei potuto chiedere di meglio. Grazie di cuore, Serena. Il tuo essere qui significa tantissimo per me."" ""Serena: Grata. Sono contenta che ti piaccia. Mi piace cucinare per te, ed è una gioia condividere queste serate."" ""Ermanno: Le tue tagliatelle ai funghi sono fantastiche, come sempre. Mi fa sentire davvero coccolato."" ""Serena: Lo stesso qui. Ti adoro per tante cose.""",,,0
Battute Leggere e Scherzose,Elio,Flavia,"""Elio: Indovina cosa ho combinato oggi?"" ""Flavia: Oh no, preparami a una storia epica! Cosa hai combinato, stavolta?"" ""Elio: Ho cercato di fare la torta tiramisù... credimi, il risultato è stato... ""interpretativo""."" ""Flavia: Ahah! Interpretabile, dici? Sembra quasi degno di un museo di arte moderna! Vuoi vedere un assaggio?"" ""Elio: Esatto! Però ho rimediare con fragole fresche e panna, ed è diventata una ""cozza-tiramisù-con-fragole-e-panna-e-tanto-amore"". Ma lo sei tu la vera chef, dopotutto!"" ""Flavia: Sei un pasticcere dalla filosofia impeccabile! Offri ora un saggio a tema?"" ""Elio: Certo, e posso dire che ora so fare un ottimo tiramisù... con la panna e le fragole!"" ""Flavia: Beh, considerando che io ho comprato l'ingrediente principale, possiamo dire che siamo stati eccezionali entrambi!""",,,0
Vulnerabilità Emotiva e Accettazione,Flavio,Adele,"""Flavio: Adele, posso parlarti di una cosa che mi preoccupa?"" ""Adele: Certo, Flavio. Dimmi pure, sono tutta orecchi."" ""Flavio: Mi sento...vuoto. Non capisco perché."" ""Adele: Mmmh... È come se mancasse qualcosa dentro di te?"" ""Flavio: Esatto. E ho paura di non trovare mai cosa."" ""Adele: So che può fare male, Flavio. Ma va bene sentirsi così, a volte."" ""Flavio: Grazie, Adele. Mi aiuta tanto che tu lo capisca."" ""Adele: Ci sono per te, Flavio. Parliamone quanto ti serve.""",,,0
Apprezzamento e Gratitudine,Filippo,Lucia,"""Filippo: Lucia, non so come dire, ma vorrei esprimerti la mia gratitudine."" ""Lucia: Filippo, perché dici questo? Cosa ti fa sentire così grato?"" ""Filippo: Ieri sera, quando mi sono sentito giù, mi hai ascoltato senza giudizio. Non capita spesso."" ""Lucia: Figurati, Filippo. Sono contenta di esserti stata d'aiuto, ma la vera gratitudine la sento io per avere te al mio fianco."" ""Filippo: Lo percepisco, grazie. Lo apprezzo enormemente."" ""Lucia: Il piacere è tutto mio. E sono davvero grata per la tua dolcezza.""",,,0
Pianificazione Eventi Futuri,Matteo,Chiara,"""Matteo: Ciao Chiara, come stai? Ho pensato che ora fossimo nel momento giusto per iniziare a programmare le nostre vacanze estive."" ""Chiara: Ciao Matteo! Ottima idea, sono d'accordo! Mi sento già in modalità ""spiaggia e relax"". Hai già qualche idea in mente?"" ""Matteo: Sì, avevo pensato di analizzare alcune mete, anche in base al budget disponibile. Ho già stilato una lista con pro e contro per ogni destinazione. Vorrei sentire il tuo parere."" ""Chiara: Perfetto, mi piace la tua organizzazione! Sono super curiosa di vedere cosa hai pensato. Magari possiamo anche aggiungere qualche meta che ti sfugge!"" ""Matteo: Assolutamente! E' un ottimo approccio, così possiamo considerare diverse alternative e trovare quella che piace a noi due davvero!"" ""Chiara: Esatto! L'importante è trovare qualcosa che ci rilassi e ci divertiamo. Mettiamoci subito al lavoro!"" ""Matteo: D'accordo, io ho preparato un file con le nostre preferenze e alcune proposte preliminari. Iniziamo!""",,,0
